latitude,longitude,iceberg_risk,risk_class,iceberg_count
-45.707043,36.412724,0.0,0,0
-45.41377,36.972958,0.0,0,0
-45.117306,37.525124,0.0,0,0
-44.817722,38.069134,0.0,0,0
-44.51521,38.60532,0.0,0,0
-44.20975,39.133427,0.0,0,0
-43.901592,39.653957,0.0,0,0
-43.590668,40.166504,0.0,0,0
-43.27727,40.671696,0.0,0,0
-42.961292,41.169067,0.0,0,0
-42.643017,41.659245,0.0,0,0
-42.322388,42.141872,0.0,0,0
-41.999615,42.617413,0.0,0,0
-41.674698,43.085682,0.0,0,0
-41.34779,43.54698,0.0,0,0
-41.018936,44.001278,0.0,0,0
-41.37681,-44.462578,0.0,0,0
-41.709328,-44.008022,0.0,0,0
-42.03993,-43.54634,0.0,0,0
-42.36856,-43.077576,0.0,0,0
-42.69507,-42.601395,0.0,0,0
-43.01946,-42.117992,0.0,0,0
-43.341507,-41.626884,0.0,0,0
-43.661278,-41.128445,0.0,0,0
-43.978493,-40.622013,0.0,0,0
-44.293236,-40.10807,0.0,0,0
-44.605232,-39.58598,0.0,0,0
-44.91454,-39.056126,0.0,0,0
-45.220917,-38.518013,0.0,0,0
-45.52437,-37.97188,0.0,0,0
-45.8247,-37.4174,0.0,0,0
-46.12186,-36.854652,0.0,0,0
-46.415714,-36.28347,0.0,0,0
-46.706135,-35.703785,0.0,0,0
-46.993053,-35.115612,0.0,0,0
-47.27628,-34.518715,0.0,0,0
-47.555798,-33.913296,0.0,0,0
-47.831352,-33.298954,0.0,0,0
-48.103004,-32.676083,0.0,0,0
-48.370388,-32.044106,0.0,0,0
-48.63367,-31.403606,0.0,0,0
-48.892414,-30.753899,0.0,0,0
-49.146797,-30.095608,0.0,0,0
-49.39642,-29.428177,0.0,0,0
-49.641396,-28.752068,0.0,0,0
-49.881405,-28.066929,0.0,0,0
-50.11646,-27.37306,0.0,0,0
-50.34634,-26.67031,0.0,0,0
-50.570965,-25.958818,0.0,0,0
-50.79021,-25.23864,0.0,0,0
-51.003883,-24.509764,0.0,0,0
-51.211975,-23.772446,0.0,0,0
-51.414192,-23.02652,0.0,0,0
-51.61064,-22.272442,0.0,0,0
-51.80089,-21.509914,0.0,0,0
-51.985195,-20.739576,0.0,0,0
-52.16299,-19.961008,0.0,0,0
-52.33462,-19.174961,0.0,0,0
-52.499527,-18.381088,0.0,0,0
-52.657997,-17.580051,0.0,0,0
-52.809578,-16.771687,0.0,0,0
-52.954437,-15.956518,0.0,0,0
-53.092262,-15.134579,0.0,0,0
-53.22309,-14.306262,0.0,0,0
-53.346745,-13.471779,0.0,0,0
-53.46314,-12.631416,0.0,0,0
-53.57226,-11.785538,0.0,0,0
-53.673866,-10.934348,0.0,0,0
-53.768112,-10.078335,0.0,0,0
-53.854618,-9.217646,0.0,0,0
-53.93369,-8.352859,0.0,0,0
-54.0048,-7.4840937,0.0,0,0
-54.06842,-6.6119785,0.0,0,0
-54.12393,-5.7366576,0.0,0,0
-54.171837,-4.858733,0.0,0,0
-54.211617,-3.978452,0.0,0,0
-54.243645,-3.0963302,0.0,0,0
-54.26757,-2.2127113,0.0,0,0
-54.283607,-1.3280517,0.0,0,0
-54.291595,-0.4427544,0.0,0,0
-54.291595,0.4427544,0.0,0,0
