id,observations,start,end,duration_days,lat_min,lat_max,lon_min,lon_max
c13,2,1997-03-09,1997-04-20,42,-74.57,-74.03,164.52,168.48
c14,330,2000-02-19,2003-01-26,1072,-67.9,0.0,0.0,147.4
c14a,3825,2000-11-05,2013-02-22,4492,-67.62,0.0,0.0,147.58
c14b,1326,2000-11-05,2004-06-28,1331,-67.72,0.0,0.0,147.68
c15,9389,2000-02-19,2026-04-22,9559,-68.03,0.0,0.0,147.7
c16,4904,2000-09-14,2014-06-06,5013,-77.22,0.0,-35.89,171.88
c17,140,2002-02-10,2004-02-03,723,-68.5,0.0,0.0,159.4
c18,651,2002-05-12,2004-02-21,650,-69.0,0.0,0.0,161.0
c18a,1603,2004-02-08,2009-11-22,2114,-75.95,0.0,-52.68,151.2
c18b,7505,2003-10-16,2026-04-22,8224,-68.64,0.0,0.0,152.1
c18c,176,2025-10-29,2026-04-22,175,-67.77,0.0,0.0,65.58
c19,439,2002-05-12,2003-07-24,438,-74.7,0.0,0.0,175.7
c19a,2153,2003-05-11,2009-04-01,2152,-71.7,0.0,-179.8731,179.9671
c19b,1381,2002-12-05,2006-12-31,1487,-72.3,0.0,0.0,172.0
c19c,3505,2003-06-08,2013-03-31,3584,-75.32,0.0,-55.21,166.3
c19c1,189,2012-07-21,2013-01-25,188,-54.2836,-53.7168,-36.4307,-35.532
c19d,1646,2003-06-08,2009-10-14,2320,-74.6,0.0,-49.62,165.3
c19e,198,2003-08-28,2004-04-25,241,-68.75,-66.5378,148.8294,159.35
c20,1046,2003-03-09,2006-03-06,1093,-65.2,0.0,0.0,99.7
c21,740,2003-03-09,2005-03-19,741,-65.05,0.0,0.0,95.8
c21a,1171,2005-03-13,2008-07-26,1231,-74.47,0.0,-55.2,90.1
c21b,6546,2005-03-13,2026-04-22,7710,-65.05,0.0,0.0,96.53
c21c,178,2005-03-13,2006-06-11,455,-65.87,-65.82,84.42,84.52
c22,44,2005-02-20,2005-10-23,245,-75.22,-70.12,165.17,171.375
c23,71,2005-04-10,2005-10-23,196,-75.53,-70.6,165.82,172.62
c24,7266,2005-03-13,2026-04-22,7710,-65.4,0.0,0.0,96.2
c25,317,2006-03-26,2007-02-05,316,-75.4,0.0,0.0,170.98
c26,340,2010-01-24,2011-02-13,385,-69.17,-60.97,-179.9853,179.8442
c27,50,2010-01-24,2010-03-14,49,-64.68,-64.68,96.73,96.73
c28,43,2010-02-14,2010-03-28,42,-66.97,-66.0,142.92,149.97
c28a,1554,2010-04-04,2014-08-10,1589,-66.16,0.0,0.0,142.87
c28a2,1313,2011-08-30,2015-05-25,1364,-66.3373,-65.6548,122.6794,124.3301
c28b,3033,2010-04-04,2018-08-10,3050,-74.4833,0.0,-54.4167,141.82
c29,3612,2016-01-01,2026-02-25,3708,-66.19,0.0,0.0,143.9833
c30,3715,2016-01-01,2026-04-22,3764,-64.7833,0.0,0.0,96.3
c31,3715,2016-01-01,2026-04-22,3764,-64.7167,0.0,0.0,96.7333
c32,2556,2016-01-01,2023-03-07,2622,-70.05,0.0,0.0,162.5333
c33,3613,2016-04-07,2026-04-22,3667,-74.9333,0.0,0.0,171.2167
c34,1333,2017-04-30,2020-12-22,1332,-65.9,0.0,0.0,143.2833
c35,2690,2018-08-03,2026-04-22,2819,-68.2667,0.0,0.0,148.33
c36,2529,2019-02-01,2026-04-22,2637,-68.1333,0.0,0.0,147.85
c37,339,2022-03-10,2023-04-01,387,-65.7,-64.5,98.6827,103.2075
c38,10,2022-03-15,2022-03-24,9,-65.66,0.0,0.0,102.76
c38a,333,2022-03-25,2023-02-20,332,-65.24,0.0,0.0,101.75
c38b,501,2022-03-25,2023-08-25,518,-65.65,0.0,0.0,102.23
c39,1328,2022-04-29,2026-04-22,1454,-69.2,0.0,0.0,99.61
c40,51,2023-04-28,2023-06-26,59,-66.55,-66.3753,109.7188,110.33
d01,9,1976-02-01,1977-01-02,336,-66.2333,-66.0,61.0,64.7667
d02,92,1976-12-12,1978-10-02,659,-65.5852,0.0,0.0,84.6545
d03,75,1977-12-04,1979-04-29,511,-67.3744,0.0,0.0,79.104
d04,25,1979-09-23,1979-12-09,77,-61.5,-55.5,83.5,86.0
d10,2,1996-03-03,1996-04-14,42,-69.1,-69.1,75.0,75.0
d11,1860,1996-06-09,2001-07-22,1869,-74.8,0.0,-53.5,74.8
d12,1384,1994-05-22,1998-06-28,1498,-69.8,0.0,0.0,64.3
d13,4,1997-01-02,1997-05-04,122,-66.7,-65.6,48.8,61.0
d14,721,2011-08-30,2013-08-19,720,-69.48,0.0,0.0,74.99
d15,1573,2011-08-30,2017-12-31,2315,-66.8,0.0,0.0,81.9
